Subsegmento,Sexo,Region,Edad,Renta,Antiguedad,Internauta,Adicional,Dualidad,Monoproducto,Ctacte,Consumo,Hipotecario,Debito,Cuentas,TC,CUPO_L1,CUPO_L2,CUPO_MX,FlgAct_T12,FlgActCN_T12,FlgActCI_T12,FlgActAN_T12,FlgActAI_T12,FlgActPAT_T12,FlgActCCPC_T12,FlgActCCOT_T12,FlgActCOL_T12,Fac_T12,Txs_T12,FacCN_T12,TxsCN_T12,FacCI_T12,TxsCI_T12,FacAN_T12,TxsAN_T12,FacAI_T12,TxsAI_T12,FacPAT_T12,TxsPAT_T12,FacCCPC_T12,TxsCCPC_T12,FacCCOT_T12,TxsCCOT_T12,FacCOL_T12,TxsCOL_T12,FacDebCom_T12,TxsDebCom_T12,FacDebAtm_T12,TxsDebAtm_T12,Col_T12,ColL1TE_T12,PagoNac_T12,PagoInt_T12,EeccNac_T12,EeccInt_T12,UsoL1_T12,UsoL2_T12,UsoLI_T12,target
160,M,13.0,43,412587.6,130,1,1,0,0,1,0,0,1,1,3,798000,1012000.0,1210.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55490.0,3.0,55490.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25890.0,1.0,0.0,0.0,0.0,0.0,247982.0,30.0,70000.0,6.0,675198.0,675198.0,22000.0,0.0,702168.0,0.0,731768.0,25890.0,0.0,0
160,H,13.0,46,143640.0,69,1,0,0,0,1,0,1,0,1,1,750000,150000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19813.0,1.0,19813.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19813.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370529.0,82504.0,250000.0,0.0,244876.0,0.0,244876.0,284632.0,0.0,0
170,H,13.0,45,929106.0,24,1,1,0,0,1,0,1,1,1,2,1350000,200000.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123950.0,3.0,123950.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52780.0,5.0,745000.0,16.0,123950.0,0.0,29990.0,0.0,94415.0,0.0,94415.0,0.0,0.0,0
151,H,13.0,46,172447.0,134,0,1,0,1,0,0,0,0,1,2,1570800,220001.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44470.0,3.0,44470.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343226.0,315896.0,80000.0,0.0,358807.0,0.0,358807.0,14660.0,0.0,0
170,H,13.0,46,805250.0,116,0,1,1,0,1,0,1,0,2,3,2762000,2.0,6430.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138225.0,6.0,138225.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102715.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177973.0,0.0,236467.0,0.0,233331.0,0.0,67516.0,234211.0,0.0,0
170,H,13.0,47,707664.0,67,1,1,0,0,1,0,0,1,1,2,1312500,450000.0,714.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,134990.0,2.0,134990.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,1.0,9990.0,1.0,0.0,0.0,10000.0,2.0,392000.0,28.0,130390.0,0.0,81894.0,0.0,81894.0,0.0,0.0,165188.0,0.0,0
811,H,13.0,48,1022833.0,21,1,0,1,0,1,0,0,1,2,2,813000,160000.0,600.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,241750.0,26.0,233571.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8179.0,1.0,17750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567296.0,120079.0,480000.0,0.0,322145.0,0.0,393169.0,178385.0,0.0,0
170,H,13.0,46,537668.6,69,0,1,1,0,1,0,0,1,2,3,1242000,1738000.0,1255.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45270.0,1.0,45270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,426000.0,18.0,0.0,0.0,19233.0,0.0,0.0,0.0,0.0,45270.0,0.0,0
170,H,13.0,49,1171066.0,33,0,0,0,0,1,0,0,1,1,1,1996400,1.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23980.0,1.0,23980.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23980.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,690000.0,9.0,472089.0,443880.0,60000.0,0.0,480265.0,0.0,480265.0,26191.0,0.0,1
170,M,13.0,44,964387.0,23,1,1,0,0,1,0,1,1,1,3,672000,3500000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,1.0,0.0,0.0,0.0,0.0,3647615.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,M,13.0,38,714195.6,38,0,0,0,0,1,0,1,0,1,1,5000000,1000.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151,M,9.0,47,326739.0,59,1,0,0,1,0,0,0,0,1,1,1197000,1450000.0,877.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,140722.0,9.0,59187.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,81535.0,5.0,29900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209312.0,0.0,100000.0,0.0,31790.0,0.0,47440.0,74898.0,0.0,0
170,H,13.0,36,1263238.0,80,1,0,0,0,1,0,0,1,1,1,500000,1.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
170,M,10.0,33,1456715.0,29,0,0,0,0,1,0,0,0,1,1,1508000,400000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217016.0,217016.0,7000.0,0.0,225898.0,0.0,225898.0,0.0,0.0,0
160,H,13.0,48,592541.0,13,0,0,0,0,1,0,0,1,1,1,400000,80000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,H,13.0,46,658607.4,7,1,0,1,0,1,0,0,1,2,2,800000,5720000.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
170,M,13.0,51,752396.0,22,1,0,1,0,1,0,0,1,2,2,600000,120000.0,400.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,258071.0,8.0,255787.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0,2.0,161388.0,2.0,0.0,0.0,0.0,0.0,26580.0,4.0,100000.0,2.0,372383.0,182.0,135398.0,0.0,214525.0,0.0,214525.0,318671.0,0.0,0
170,H,13.0,37,844830.0,72,1,0,0,0,1,0,1,1,1,1,2812500,1.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193643.0,7.0,118000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,M,13.0,47,176712.0,94,1,0,0,0,1,0,1,1,1,1,3891336,1.0,4395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151768.0,12.0,1094000.0,18.0,37805.0,0.0,37014.0,0.0,37014.0,0.0,0.0,75609.0,0.0,0
